"movies.id","movies.name","movies.year","movies.rank","movies_genres.movie_id","movies_genres.genre","movies_directors.director_id","movies_directors.movie_id","directors.id","directors.first_name","directors.last_name"
"10934","Aliens of the Deep","2005","6.5","10934","Documentary","11652","10934","11652","James (I)","Cameron"
"105938","Expedition: Bismarck","2002","7.5","105938","Documentary","11652","105938","11652","James (I)","Cameron"
"127297","Ghosts of the Abyss","2003","6.7","127297","Documentary","11652","127297","11652","James (I)","Cameron"
"127297","Ghosts of the Abyss","2003","6.7","127297","Family","11652","127297","11652","James (I)","Cameron"
"127297","Ghosts of the Abyss","2003","6.7","127297","Short","11652","127297","11652","James (I)","Cameron"
"159665","Inglorious Bastards","2006","8.3","159665","Action","78273","159665","78273","Quentin","Tarantino"
"159665","Inglorious Bastards","2006","8.3","159665","Drama","78273","159665","78273","Quentin","Tarantino"
"159665","Inglorious Bastards","2006","8.3","159665","War","78273","159665","78273","Quentin","Tarantino"
"176711","Kill Bill: Vol. 1","2003","8.4","176711","Action","78273","176711","78273","Quentin","Tarantino"
"176711","Kill Bill: Vol. 1","2003","8.4","176711","Crime","78273","176711","78273","Quentin","Tarantino"
"176711","Kill Bill: Vol. 1","2003","8.4","176711","Thriller","78273","176711","78273","Quentin","Tarantino"
"176712","Kill Bill: Vol. 2","2004","8.2","176712","Action","78273","176712","78273","Quentin","Tarantino"
"176712","Kill Bill: Vol. 2","2004","8.2","176712","Drama","78273","176712","78273","Quentin","Tarantino"
"176712","Kill Bill: Vol. 2","2004","8.2","176712","Romance","78273","176712","78273","Quentin","Tarantino"
"176712","Kill Bill: Vol. 2","2004","8.2","176712","Thriller","78273","176712","78273","Quentin","Tarantino"
